"filename", "language", "Batch", "Python", "Markdown", "JSON", "JavaScript", "PostCSS", "HTML", "XML", "pip requirements", "comment", "blank", "total"
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\admin.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\models.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 7, 39
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\serializers.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\reviews\views.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 10, 54
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\asgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\settings.py", "Python", 0, 102, 0, 0, 0, 0, 0, 0, 0, 32, 38, 172
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\urls.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 0, 17, 3, 58
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\script_murder_system\wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\scripts\view_database.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 13, 75
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\static\js\auth.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\autocomplete.css", "PostCSS", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 50, 280
"d:\MUST_proj\SW_management\SmErRecommendation-master-v3\SmErRecommendation-master-v3\staticfiles\admin\css\base.css", "PostCSS", 0, 0, 0, 0, 0, 935, 0, 0, 0, 32, 217, 1184
